Car_Brand,Car_Name,Year,Selling_Price,Km_Driven,Fuel,Seller_Type,Transmission,Owner
Maruti,Alto,2012,160000,60000,Petrol,Individual,Manual,Second Owner
Honda,City,2014,675000,90000,Diesel,Dealer,Manual,First Owner
Maruti,Wagon,2013,300000,80000,Petrol,Dealer,Manual,First Owner
Tata,Indica,2005,70000,80000,Diesel,Individual,Manual,First Owner
Hyundai,EON,2014,240000,73300,Petrol,Dealer,Manual,Second Owner
Toyota,Etios,2014,525000,92000,Diesel,Dealer,Manual,First Owner
Maruti,Alto,2009,151000,66764,Petrol,Dealer,Manual,Second Owner
Maruti,Alto,2009,140000,100000,Petrol,Individual,Manual,First Owner
Mahindra,Scorpio,2017,570000,60000,Diesel,Individual,Manual,First Owner
Hyundai,EON,2018,300000,31000,Petrol,Individual,Manual,First Owner
Tata,Indigo,2007,100000,39000,Diesel,Individual,Manual,First Owner
Toyota,Innova,2009,500000,120000,Diesel,Individual,Manual,Third Owner
Tata,Indica,2014,125000,166000,Diesel,Individual,Manual,Fourth & Above Owner
Maruti,Swift,2006,130000,110000,Petrol,Individual,Manual,Third Owner
Ford,EcoSport,2017,925000,35000,Diesel,Individual,Manual,First Owner
Maruti,Ciaz,2018,750000,60000,Diesel,Individual,Manual,First Owner
Honda,Civic,2007,200000,54000,Petrol,Individual,Automatic,Second Owner
Hyundai,i10,2010,248000,63000,Petrol,Individual,Manual,Second Owner
Skoda,Rapid,2014,450000,120000,Diesel,Individual,Manual,Second Owner
Hyundai,Getz,2005,80000,120000,Petrol,Individual,Manual,Third Owner
Nissan,Terrano,2014,650000,76000,Petrol,Individual,Manual,Second Owner
Hyundai,Grand,2015,450000,80000,Diesel,Individual,Manual,First Owner
Hyundai,Elite,2019,650000,25000,Diesel,Individual,Manual,First Owner
Honda,Amaze,2016,495000,11958,Petrol,Dealer,Manual,First Owner
Honda,Brio,2015,371000,20000,Petrol,Dealer,Manual,First Owner
Hyundai,Creta,2017,1025000,9000,Petrol,Dealer,Manual,First Owner
Mahindra,XUV500,2015,750000,70000,Diesel,Individual,Manual,First Owner
Renault,Duster,2013,600000,120000,Diesel,Individual,Manual,First Owner
Hyundai,Santro,2007,80000,58000,Petrol,Dealer,Manual,Second Owner
Mahindra,Bolero,2013,325000,62200,Diesel,Dealer,Manual,First Owner
Fiat,Avventura,2015,350000,53000,Diesel,Individual,Manual,Second Owner
Datsun,RediGO,2017,210000,15000,Petrol,Dealer,Manual,Second Owner
Volkswagen,Jetta,2013,450000,50000,Petrol,Individual,Manual,First Owner
Audi,A4,2013,1150000,53000,Diesel,Dealer,Automatic,First Owner
Honda,Civic,2009,210000,63500,Petrol,Dealer,Automatic,First Owner
Maruti,SX4,2008,175000,29173,Petrol,Dealer,Manual,First Owner
Mahindra,Bolero,2017,628000,120000,Diesel,Individual,Manual,First Owner
Hyundai,Sonata,2010,600000,100000,Diesel,Individual,Manual,First Owner
Nissan,Micra,2017,399000,30000,Petrol,Individual,Manual,First Owner
Mahindra,Xylo,2018,750000,87000,Diesel,Individual,Manual,First Owner
Hyundai,Elite,2019,750000,15000,Petrol,Individual,Manual,First Owner
Renault,KWID,2017,315000,16000,Petrol,Individual,Manual,First Owner
Mahindra,Xylo,2012,600000,60000,Diesel,Individual,Manual,First Owner
Maruti,Wagon,2010,100000,60000,Petrol,Individual,Manual,Fourth & Above Owner
Maruti,SX4,2011,250000,110000,Petrol,Individual,Manual,Third Owner
Renault,KWID,2017,350000,25000,Petrol,Individual,Manual,First Owner
Hyundai,Creta,2016,780000,60000,Diesel,Individual,Manual,First Owner
Maruti,Swift,2014,434000,79350,Diesel,Individual,Manual,Second Owner
Hyundai,Verna,2016,690000,80000,Petrol,Individual,Automatic,First Owner
Mahindra,Scorpio,2014,555000,90000,Diesel,Individual,Manual,Second Owner
Maruti,SX4,2007,120000,90000,Petrol,Individual,Manual,Second Owner
Maruti,Ertiga,2014,500000,120000,Diesel,Individual,Manual,Second Owner
Chevrolet,Beat,2013,165000,60000,Diesel,Individual,Manual,Second Owner
Maruti,Zen,2004,95000,50000,Petrol,Individual,Manual,First Owner
Maruti,Baleno,2018,550000,20000,Petrol,Individual,Manual,First Owner
Maruti,Swift,2007,100000,110000,Diesel,Individual,Manual,Fourth & Above Owner
Tata,Nano,2012,100000,50000,Petrol,Individual,Manual,Second Owner
Toyota,Innova,2012,500000,100000,Diesel,Individual,Manual,First Owner
Maruti,Ertiga,2016,800000,70000,Diesel,Individual,Manual,Second Owner
Hyundai,Creta,2016,840000,70000,Diesel,Individual,Manual,Second Owner
Honda,Amaze,2016,490000,50000,Petrol,Individual,Manual,First Owner
Tata,Indica,2010,125000,81000,Diesel,Individual,Manual,Second Owner
Chevrolet,Tavera,2012,400000,120000,Diesel,Individual,Manual,Third Owner
Chevrolet,Cruze,2015,1000000,3600,Diesel,Dealer,Manual,First Owner
Ford,Figo,2015,530000,14272,Petrol,Dealer,Manual,First Owner
Ford,EcoSport,2017,840000,49213,Diesel,Dealer,Manual,First Owner
Hyundai,i10,2015,229999,40000,Petrol,Individual,Manual,First Owner
Chevrolet,Spark,2012,130000,80000,Petrol,Individual,Manual,First Owner
Hyundai,EON,2015,200000,70000,Petrol,Individual,Manual,First Owner
Tata,Indica,2011,120000,70000,Diesel,Individual,Manual,First Owner
Hyundai,Santro,2003,75000,57000,Petrol,Individual,Manual,First Owner
Tata,Bolt,2016,250000,120000,Diesel,Individual,Manual,First Owner
Maruti,800,2005,100000,30000,Petrol,Individual,Manual,First Owner
Hyundai,EON,2013,280000,3240,Petrol,Individual,Manual,Second Owner
Hyundai,i20,2015,540000,5000,Petrol,Individual,Manual,First Owner
Hyundai,i20,2018,700000,10000,Petrol,Individual,Manual,First Owner
Maruti,Ciaz,2015,525000,100000,Diesel,Individual,Manual,First Owner
Hyundai,i20,2016,430000,80000,Diesel,Individual,Manual,First Owner
Hyundai,Santro,2002,65000,70000,Petrol,Individual,Manual,First Owner
Maruti,Vitara,2018,800000,35000,Diesel,Individual,Manual,First Owner
Hyundai,Santro,2007,75000,114000,Petrol,Individual,Manual,Second Owner
Hyundai,Getz,2008,210000,53772,Petrol,Individual,Manual,First Owner
Mahindra,Quanto,2012,195000,140000,Diesel,Individual,Manual,Second Owner
Chevrolet,Tavera,2015,400000,120000,Diesel,Individual,Manual,First Owner
Hyundai,EON,2012,170000,60000,Petrol,Individual,Manual,First Owner
Renault,KWID,2016,225000,25000,Petrol,Individual,Manual,First Owner
Maruti,Wagon,2014,210000,90000,LPG,Individual,Manual,First Owner
Maruti,Wagon,2020,240000,120000,Petrol,Individual,Manual,First Owner
Chevrolet,Spark,2011,99000,100000,Petrol,Individual,Manual,Third Owner
Honda,City,2014,620000,36000,Petrol,Individual,Manual,First Owner
Honda,Amaze,2013,500000,30000,Diesel,Individual,Manual,First Owner
Honda,Brio,2013,260000,70000,Petrol,Individual,Manual,Second Owner
Maruti,Swift,2017,550000,60000,Petrol,Individual,Manual,First Owner
Tata,Indigo,2011,150000,155500,Diesel,Individual,Manual,First Owner
Hyundai,i10,2011,350000,50000,Petrol,Individual,Automatic,Second Owner
Chevrolet,Beat,2016,320000,40000,Petrol,Individual,Manual,First Owner
Maruti,Swift,2015,400000,100000,Diesel,Individual,Manual,Third Owner
Maruti,Alto,2012,175000,80000,Petrol,Individual,Manual,Third Owner
Chevrolet,Beat,2011,120000,90000,Petrol,Individual,Manual,Second Owner
Renault,Duster,2013,320000,90000,Diesel,Individual,Manual,Second Owner
Hyundai,Santro,2006,70000,110000,Petrol,Individual,Manual,Third Owner
Maruti,Swift,2019,810000,15000,Petrol,Individual,Manual,First Owner
Maruti,800,2007,95000,100000,Petrol,Individual,Manual,Second Owner
Maruti,Alto,2020,282000,40000,CNG,Individual,Manual,First Owner
Maruti,800,2004,80000,60000,Petrol,Individual,Manual,Second Owner
Tata,Nano,2013,72000,25000,Petrol,Individual,Manual,First Owner
Hyundai,i20,2016,600000,25000,Petrol,Individual,Manual,First Owner
Skoda,Rapid,2015,640000,23000,Petrol,Individual,Manual,First Owner
Maruti,Alto,2018,380000,22155,Petrol,Individual,Manual,First Owner
Maruti,Ciaz,2018,650000,70000,Petrol,Individual,Manual,First Owner
Maruti,Alto,2009,150000,60000,Petrol,Individual,Manual,Second Owner
Hyundai,i20,2009,280000,110000,Petrol,Individual,Manual,Second Owner
Tata,Nexon,2018,430000,30000,Petrol,Individual,Manual,First Owner
Mahindra,Bolero,2019,800000,15000,Diesel,Individual,Manual,First Owner
Maruti,Zen,2003,75000,100000,Diesel,Individual,Manual,Second Owner
Volkswagen,Vento,2016,650000,70000,Diesel,Individual,Automatic,First Owner
Maruti,Eeco,2017,390000,24000,Petrol,Individual,Manual,First Owner
Honda,City,2005,100000,120000,Petrol,Individual,Manual,Second Owner
Maruti,SX4,2007,175000,78380,Petrol,Individual,Manual,First Owner
Renault,Duster,2012,434999,110000,Diesel,Individual,Manual,Second Owner
Ford,Figo,2010,170000,90000,Diesel,Individual,Manual,Third Owner
Ford,Figo,2011,190000,90000,Diesel,Individual,Manual,Third Owner
Maruti,Swift,2009,250000,150000,Diesel,Individual,Manual,Third Owner
Maruti,Esteem,2006,140000,70000,Petrol,Individual,Manual,Third Owner
Maruti,Swift,2017,600000,80362,Diesel,Individual,Manual,First Owner
Hyundai,i20,2012,280000,110000,Petrol,Individual,Manual,Third Owner
Chevrolet,Beat,2012,150000,60000,Diesel,Individual,Manual,First Owner
Chevrolet,Cruze,2015,650000,50000,Diesel,Individual,Automatic,First Owner
Nissan,Micra,2014,210000,40000,Petrol,Individual,Manual,Second Owner
Chevrolet,Enjoy,2013,425000,20000,Diesel,Dealer,Manual,First Owner
Hyundai,EON,2014,265000,55000,Petrol,Dealer,Manual,First Owner
Fiat,Linea,2018,890000,1136,Petrol,Dealer,Manual,First Owner
Renault,Scala,2013,365000,55000,Petrol,Dealer,Manual,First Owner
Ford,Figo,2014,350000,43000,Petrol,Dealer,Manual,First Owner
Maruti,Ciaz,2016,685000,60000,Diesel,Individual,Manual,First Owner
Skoda,Rapid,2018,940000,2650,Diesel,Dealer,Manual,First Owner
Mahindra,XUV500,2017,1000000,40000,Diesel,Individual,Manual,First Owner
Mahindra,XUV300,2019,1150000,15000,Petrol,Dealer,Manual,First Owner
Maruti,Ertiga,2016,450000,115962,Diesel,Individual,Manual,Second Owner
Nissan,Terrano,2015,590000,65000,Diesel,Dealer,Manual,First Owner
Maruti,S-Cross,2017,800000,40000,Diesel,Individual,Manual,First Owner
Hyundai,i20,2012,385000,58000,Diesel,Dealer,Manual,First Owner
Hyundai,EON,2012,235000,54000,Petrol,Dealer,Manual,First Owner
Volkswagen,Ameo,2017,640000,56000,Diesel,Dealer,Manual,First Owner
Maruti,Alto,2006,52000,120000,Petrol,Individual,Manual,Third Owner
Maruti,Omni,2009,80000,90000,LPG,Individual,Manual,Second Owner
Maruti,Alto,2012,140000,70000,Petrol,Individual,Manual,Second Owner
Hyundai,Verna,2008,120000,90000,Petrol,Individual,Manual,Second Owner
Chevrolet,Optra,2012,180000,120000,Diesel,Individual,Manual,First Owner
Hyundai,i20,2017,700000,10000,Petrol,Individual,Manual,First Owner
Maruti,SX4,2012,285000,80000,Diesel,Individual,Manual,Second Owner
Hyundai,Grand,2015,390000,90000,Petrol,Individual,Manual,First Owner
Maruti,Alto,2008,125000,80000,Petrol,Individual,Manual,First Owner
Maruti,SX4,2008,225000,60000,Petrol,Individual,Manual,Second Owner
Hyundai,i10,2011,175000,139000,Petrol,Individual,Manual,Second Owner
Toyota,Innova,2011,1075000,160000,Diesel,Individual,Manual,Second Owner
Honda,Mobilio,2014,300000,150000,Diesel,Individual,Manual,First Owner
Toyota,Innova,2010,700000,163000,Diesel,Individual,Manual,Fourth & Above Owner
Tata,Indica,2009,90000,120000,Diesel,Dealer,Manual,First Owner
Tata,Indica,2011,120000,120000,Diesel,Individual,Manual,Second Owner
Chevrolet,Beat,2012,220000,100000,Diesel,Individual,Manual,Second Owner
Tata,Zest,2015,300000,140000,Diesel,Dealer,Manual,First Owner
Skoda,Fabia,2010,180000,87000,Diesel,Dealer,Manual,Second Owner
Maruti,800,2013,170000,70000,Petrol,Individual,Manual,First Owner
Ford,Figo,2015,300000,50000,Petrol,Individual,Manual,Second Owner
Toyota,Innova,2014,1050000,70000,Diesel,Individual,Manual,First Owner
Hyundai,Grand,2018,465000,25000,Diesel,Individual,Manual,First Owner
Chevrolet,Beat,2011,130000,80000,Diesel,Individual,Manual,Second Owner
Datsun,GO,2018,434999,10000,Petrol,Individual,Manual,First Owner
Hyundai,Grand,2018,500000,32000,Petrol,Individual,Manual,First Owner
Maruti,Omni,2018,200000,10000,Petrol,Individual,Manual,First Owner
Maruti,Baleno,2017,625000,52000,Petrol,Dealer,Manual,First Owner
Ford,Fiesta,2006,110000,120000,Diesel,Individual,Manual,Third Owner
Hyundai,Elite,2019,800000,11240,Petrol,Individual,Manual,First Owner
Hyundai,Grand,2017,490000,66000,Diesel,Dealer,Manual,First Owner
Maruti,Ertiga,2017,880000,64000,Diesel,Dealer,Manual,First Owner
Hyundai,Santro,2013,290000,49000,Petrol,Individual,Manual,First Owner
Tata,Sumo,2006,115999,100000,Diesel,Individual,Manual,Second Owner
Renault,KWID,2018,360000,26500,Petrol,Individual,Manual,First Owner
Maruti,800,2002,65000,100000,Petrol,Individual,Manual,Second Owner
Maruti,Vitara,2017,685000,72000,Diesel,Dealer,Manual,First Owner
Honda,Jazz,2009,300000,50000,Petrol,Individual,Manual,First Owner
Hyundai,i20,2017,680000,44000,Diesel,Dealer,Manual,First Owner
Maruti,Ertiga,2017,1000000,60000,Diesel,Individual,Manual,Second Owner
Tata,Sumo,2002,100000,120000,Diesel,Individual,Manual,First Owner
Mahindra,Xylo,2010,160000,130000,Diesel,Individual,Manual,First Owner
Maruti,Swift,2017,450000,70000,Diesel,Individual,Manual,First Owner
Maruti,Ertiga,2014,600000,20000,Petrol,Individual,Manual,First Owner
Hyundai,i20,2009,180000,60000,Diesel,Individual,Manual,Second Owner
Maruti,Alto,2010,120000,90000,Petrol,Individual,Manual,Second Owner
Hyundai,Getz,2006,130000,80000,Petrol,Individual,Manual,Third Owner
Maruti,Wagon,2011,160000,155000,Petrol,Individual,Manual,First Owner
Mahindra,Bolero,2019,860000,35000,Diesel,Individual,Manual,First Owner
Hyundai,i20,2018,650000,20000,Petrol,Individual,Manual,Second Owner
Maruti,Wagon,2010,100000,80000,Petrol,Individual,Manual,Second Owner
Maruti,Alto,2017,282000,20000,Petrol,Individual,Manual,First Owner
Hyundai,i20,2009,300000,50000,Petrol,Individual,Manual,First Owner
Hyundai,i20,2010,270000,110000,Petrol,Individual,Manual,Second Owner
Hyundai,Verna,2013,550000,29000,Diesel,Individual,Manual,First Owner
Mahindra,Xylo,2013,450000,120000,Diesel,Individual,Manual,First Owner
Mahindra,Bolero,2011,430000,70000,Diesel,Individual,Manual,Second Owner
Maruti,Ertiga,2013,350000,40000,Petrol,Individual,Manual,First Owner
Honda,Brio,2017,350000,20000,Petrol,Individual,Manual,First Owner
Toyota,Etios,2013,229999,50000,Petrol,Individual,Manual,Second Owner
Maruti,Alto,2013,110000,50000,Petrol,Individual,Manual,First Owner
Maruti,Swift,2012,395000,49000,Petrol,Individual,Manual,Second Owner
Mahindra,Scorpio,2011,650000,70000,Diesel,Individual,Automatic,Second Owner
Mahindra,Bolero,2011,350000,90000,Diesel,Individual,Manual,Second Owner
Tata,Tiago,2018,360000,4000,Petrol,Individual,Manual,First Owner
Renault,Duster,2015,800000,15000,Diesel,Individual,Manual,First Owner
Hyundai,EON,2018,229999,30000,Petrol,Individual,Manual,First Owner
Maruti,Wagon,2014,315000,41000,Petrol,Dealer,Manual,First Owner
Chevrolet,Spark,2012,125000,28000,Petrol,Individual,Manual,First Owner
Maruti,Baleno,2019,700000,16000,Petrol,Individual,Manual,First Owner
Hyundai,EON,2015,160000,70000,Petrol,Individual,Manual,First Owner
Ford,Figo,2017,530000,10832,Petrol,Dealer,Manual,First Owner
Ford,Figo,2018,624000,14681,Diesel,Dealer,Manual,First Owner
Hyundai,i10,2009,250000,50000,Petrol,Individual,Manual,First Owner
Mahindra,Bolero,2016,585000,51000,Diesel,Dealer,Manual,First Owner
Hyundai,Verna,2015,500000,25000,Petrol,Individual,Manual,First Owner
Chevrolet,Sail,2014,350000,30000,Petrol,Individual,Manual,First Owner
Honda,City,2014,495000,80000,Diesel,Dealer,Manual,First Owner
Hyundai,Grand,2017,500000,50000,Petrol,Individual,Manual,First Owner
Hyundai,Grand,2013,345000,44000,Petrol,Dealer,Manual,First Owner
Maruti,Baleno,2015,500000,10000,Petrol,Individual,Manual,First Owner
Tata,Tiago,2019,425000,19600,Petrol,Individual,Manual,First Owner
Maruti,Wagon,2005,80000,40000,Petrol,Individual,Manual,Second Owner
Chevrolet,Beat,2011,106000,50000,Diesel,Individual,Manual,First Owner
Maruti,A-Star,2009,180000,46730,Petrol,Individual,Manual,First Owner
Datsun,GO,2015,250000,40000,Petrol,Individual,Manual,Second Owner
Skoda,Yeti,2011,350000,80000,Diesel,Individual,Manual,First Owner
Maruti,Zen,2002,60000,80000,Petrol,Individual,Manual,Second Owner
Hyundai,Verna,2018,900000,24000,Diesel,Individual,Manual,First Owner
Ford,Aspire,2017,700000,21170,Diesel,Dealer,Manual,First Owner
Maruti,Ertiga,2017,1000000,40000,Diesel,Individual,Manual,First Owner
Chevrolet,Tavera,2007,160000,120000,Diesel,Individual,Manual,Third Owner
Mitsubishi,Outlander,2012,525000,140000,Petrol,Individual,Automatic,First Owner
Maruti,Baleno,2019,800000,30000,Diesel,Individual,Manual,First Owner
Ford,Figo,2017,700000,88635,Diesel,Dealer,Manual,First Owner
Maruti,Swift,2018,800000,25000,Diesel,Individual,Manual,First Owner
Hyundai,i20,2017,575000,20000,Petrol,Individual,Manual,Second Owner
Renault,Duster,2012,350000,110000,Diesel,Individual,Manual,Second Owner
Maruti,Swift,2008,250000,120000,Diesel,Individual,Manual,Third Owner
Ford,Endeavour,2011,600000,149674,Diesel,Dealer,Manual,Second Owner
Mahindra,Scorpio,2007,370000,100000,Diesel,Individual,Manual,Third Owner
Maruti,Baleno,2006,80000,120000,Petrol,Individual,Manual,Third Owner
Tata,Indica,2003,50000,120000,Diesel,Individual,Manual,Second Owner
Hyundai,Verna,2018,900000,25000,Diesel,Individual,Manual,First Owner
Maruti,Wagon,2014,300000,35000,Petrol,Individual,Manual,Second Owner
Tata,Indica,2002,125000,40000,Petrol,Individual,Manual,First Owner
Maruti,Swift,2015,490000,60000,Diesel,Individual,Manual,Second Owner
Toyota,Etios,2012,300000,50000,Diesel,Individual,Manual,Second Owner
Tata,Nano,2013,55000,25000,Petrol,Individual,Manual,Fourth & Above Owner
Hyundai,Grand,2016,350000,25000,Petrol,Individual,Manual,First Owner
Hyundai,Grand,2019,755000,8000,Diesel,Individual,Manual,First Owner
Maruti,Ertiga,2017,720000,60000,Diesel,Individual,Manual,First Owner
Mahindra,Scorpio,2018,1100000,20000,Diesel,Individual,Manual,First Owner
Volkswagen,Polo,2013,400000,100000,Petrol,Individual,Manual,First Owner
Hyundai,Xcent,2015,350000,70000,Diesel,Individual,Manual,Second Owner
Chevrolet,Beat,2012,159000,68000,Diesel,Dealer,Manual,First Owner
Maruti,Swift,2017,550000,38000,Petrol,Dealer,Manual,First Owner
Maruti,Ritz,2013,335000,80000,Diesel,Dealer,Manual,First Owner
Tata,Indigo,2014,185000,72000,CNG,Dealer,Manual,First Owner
Maruti,Eeco,2012,229999,75000,CNG,Dealer,Manual,First Owner
Maruti,Estilo,2014,225000,43000,Petrol,Dealer,Manual,First Owner
Maruti,Swift,2007,250000,120000,Petrol,Individual,Manual,Second Owner
Tata,Zest,2015,400000,100000,Diesel,Individual,Manual,First Owner
Maruti,Swift,2014,470000,163000,Diesel,Individual,Manual,First Owner
Maruti,Alto,2018,300000,25000,Petrol,Individual,Automatic,First Owner
Maruti,Alto,2011,145000,25000,Petrol,Individual,Manual,First Owner
Maruti,SX4,2007,100000,90000,Petrol,Individual,Manual,Second Owner
Mahindra,Scorpio,2014,500000,70000,Diesel,Individual,Manual,Second Owner
Hyundai,Santro,2010,130000,98000,CNG,Individual,Manual,Second Owner
Chevrolet,Cruze,2010,240000,81925,Diesel,Individual,Manual,First Owner
Ford,Figo,2013,150000,80000,Diesel,Individual,Manual,Second Owner
Renault,KWID,2017,270000,40000,Petrol,Individual,Manual,First Owner
Maruti,Swift,2014,400000,90000,Diesel,Individual,Manual,First Owner
Hyundai,EON,2012,200000,46000,Petrol,Individual,Manual,First Owner
Mahindra,XUV500,2012,550000,80000,Diesel,Individual,Manual,First Owner
Renault,KWID,2018,325000,35000,Petrol,Individual,Manual,First Owner
Skoda,Rapid,2017,860000,82080,Diesel,Individual,Automatic,First Owner
Chevrolet,Spark,2009,125000,70000,Petrol,Individual,Manual,First Owner
Chevrolet,Tavera,2010,300000,120000,Diesel,Individual,Manual,Third Owner
Ford,Fiesta,2007,190000,60000,Petrol,Individual,Manual,Third Owner
Maruti,Ertiga,2013,400000,110000,Diesel,Individual,Manual,First Owner
Tata,Manza,2011,260000,97000,Diesel,Individual,Manual,Second Owner
Maruti,Swift,2017,400000,30000,Petrol,Individual,Manual,First Owner
Hyundai,i20,2010,250000,40000,Petrol,Individual,Manual,First Owner
Hyundai,Grand,2019,600000,10000,Petrol,Individual,Manual,First Owner
Maruti,Zen,2010,175000,52047,Petrol,Individual,Manual,First Owner
Tata,Tiago,2019,350000,15000,Petrol,Individual,Automatic,Second Owner
Maruti,Vitara,2018,800000,50000,Diesel,Individual,Manual,First Owner
Maruti,Swift,2011,250000,70000,Petrol,Individual,Manual,Second Owner
Maruti,Swift,2019,600000,10000,Petrol,Individual,Manual,First Owner
Maruti,Swift,2017,600000,90000,Diesel,Individual,Manual,First Owner
Maruti,Alto,2016,130000,40000,Petrol,Individual,Manual,First Owner
Maruti,Wagon,2006,90000,62009,Petrol,Individual,Manual,Second Owner
Hyundai,i20,2017,595000,33100,Petrol,Individual,Manual,Second Owner
Hyundai,EON,2014,190000,40000,Petrol,Individual,Manual,Second Owner
Maruti,Wagon,2007,95000,80000,Petrol,Individual,Manual,First Owner
Tata,Safari,2016,1000000,70000,Diesel,Individual,Manual,First Owner
Mahindra,Bolero,2010,400000,50000,Diesel,Individual,Manual,First Owner
Datsun,GO,2015,315000,45000,Petrol,Individual,Manual,Second Owner
Toyota,Fortuner,2014,1000000,110000,Diesel,Individual,Manual,First Owner
Ford,Ecosport,2014,500000,49000,Diesel,Individual,Manual,First Owner
Mahindra,Supro,2017,500000,160000,Diesel,Individual,Manual,First Owner
Maruti,800,2007,105000,60000,Petrol,Individual,Manual,Second Owner
Ford,Endeavour,2008,400000,110000,Diesel,Individual,Manual,Third Owner
Maruti,Wagon,2004,80000,60000,Petrol,Individual,Manual,Third Owner
Maruti,Alto,2016,300000,30000,Petrol,Individual,Manual,First Owner
Mahindra,KUV,2017,409999,40000,Diesel,Individual,Manual,First Owner
Maruti,Swift,2009,250000,70000,Petrol,Individual,Manual,First Owner
Tata,New,2010,250000,120000,Diesel,Individual,Manual,Second Owner
Maruti,Swift,2012,215000,80000,Diesel,Individual,Manual,Third Owner
Honda,Brio,2018,475000,20000,Petrol,Individual,Manual,First Owner
Honda,Brio,2018,475000,22000,Petrol,Individual,Manual,First Owner
Chevrolet,Spark,2008,75000,35000,Petrol,Individual,Manual,Second Owner
Chevrolet,Sail,2013,200000,120000,Diesel,Individual,Manual,Second Owner
Tata,Tiago,2019,575000,8000,Petrol,Individual,Manual,First Owner
Maruti,Ritz,2011,150000,40000,Diesel,Individual,Manual,Second Owner
Maruti,Vitara,2018,850000,10000,Diesel,Individual,Manual,First Owner
Hyundai,Santro,2019,350000,30000,Petrol,Individual,Manual,First Owner
Ford,Endeavour,2011,550000,54000,Diesel,Individual,Manual,Second Owner
Hyundai,Verna,2017,330000,80577,Petrol,Individual,Manual,First Owner
Honda,City,2017,1044999,25000,Diesel,Individual,Manual,First Owner
Hyundai,Verna,2011,300000,127500,Diesel,Individual,Manual,Second Owner
Hyundai,EON,2015,235000,40903,Petrol,Dealer,Manual,First Owner
Ford,Figo,2011,120000,60000,Petrol,Individual,Manual,Third Owner
Maruti,Wagon,2004,130000,46000,Petrol,Individual,Manual,First Owner
Ford,Endeavour,2004,275000,22288,Diesel,Dealer,Manual,Second Owner
Volkswagen,Polo,2015,500000,30000,Diesel,Individual,Manual,Second Owner
Hyundai,Grand,2015,400000,61690,Petrol,Dealer,Manual,First Owner
Hyundai,i20,2015,600000,64484,Petrol,Dealer,Manual,First Owner
Renault,Duster,2013,400000,75976,Diesel,Dealer,Manual,Second Owner
Ford,Figo,2011,220000,70000,Diesel,Individual,Manual,Second Owner
Honda,Brio,2012,300000,85962,Petrol,Dealer,Manual,Second Owner
